id,external_id,title,merchant,description,category
7888,154095,5% back at Smiley's Diner,Smiley's Diner,"Open daily from early until late, Smiley's Diner is a must-try when craving a delicious meal in a casual spot. This friendly eatery features a big menu that's loaded with everything from omelettes and pancakes to Italian pasta dishes and seafood picks made with fresh seafood. Made to order and always affordable, eat at Smiley's today!",FOOD
7889,154124,5% back at Casa Grande,Casa Grande,"Check out the authentic and hand-crafted Mexican eats at the family owned and operated Casa Grande restaurant. This is a terrific spot to enjoy reasonably priced meals that are packed with flavor. Lunch specials, vegetarian picks, combos, Chef's specialties, and a kids menu ensure plenty of variety for everyone at this popular eatery.",FOOD
7890,153042,5% back at Munchies Diner,Munchies Diner,"Munchies Vegan Diner is serving up both traditional and creative vegan specialties that vegans and meat eaters alike are sure to instantly fall in love with. The modern eatery has a warm, nostalgic atmosphere complete with multiple televisions, fun arcade games, and a dog-friendly outdoor dining area. Each dish is proudly made using organic produce and products locally sourced through Ingardia Brothers, Kehe, or UNFI. Choose from a wide selection of 100% vegan dishes including supreme nacho towers, baked mac and cheese, pizza fries, delicious sandwiches, and so much more. Stop in every Sunday from 11 a.m.-4 p.m. for delectable brunch selections like chicken and waffles, eggs Benedict, and tasty breakfast burgers and burritos. If you live outside of Santa Ana and are craving vegan meats, cheeses, and sauces, don't worry! Munchies Vegan Deli has got you covered and will ship its amazing products to every address in California, Washington, Oregon, and Idaho, as well as the metropolitan areas of Arizona, Nevada, New Mexico, and Utah. Open Wednesday through Sunday grab the whole family and stop in today or order online and savor a vegan feast on the go. ",FOOD
7891,153447,5% back at Bar Toto,Bar Toto,"something_here",FOOD
7892,153121,5% back at Sage Bakery & Grill,Sage Bakery & Grill,"Sage Bakery & Grill is serving up delectable Mediterranean cuisine that is sure to satisfy all your cravings. You'll love dining in this relaxed, friendly atmosphere whether you're stopping in for a tasty breakfast, grabbing a quick lunch to go, or taking the kids out for a fun family dinner. Start off with scrumptious appetizers to share like baba ghanoush and falafel before devouring your entree. The menu is filled with a variety of mouthwatering dishes including delicious sandwiches, beef and chicken shawarma, savory kefta kabobs, fantastic pizza, and yummy breakfast selections. Open from 7 a.m.- 10 p.m. seven days a week. Stop into Sage Bakery & Grill today or order online for delivery or pickup and savor an authentic meal in the comfort of your own home. ",FOOD
7893,153189,5% back at El Taco Veloz Authentic Mexican Flavor,El Taco Veloz Authentic Mexican Flavor,"An attractive and family-friendly restaurant, El Taco Veloz Authentic Mexican Flavor offers delicious Mexican cuisine made with fresh ingredients and vibrant spices. Get things going with tasty appetizers like fresh guacamole, cheese dip, and nachos carbon with steak, chicken, and shrimp. Popular entrees include sizzling fajitas, tender t-bone steak, and camarones diabla featuring fresh shrimp cooked in a spicy sauce and served with rice, beans, salad, and tortillas. The tacos, burritos, and veggie plates here are also fantastic. Pair your eats with a cold beer, glass of wine, or tangy-sweet margarita. A kids menu is available for the little ones, and diners of all ages will enjoy delectable desserts like flan, churros, and fried ice cream. Stop by today -- friendly service and unbeatable Mexican fare await you at El Taco Veloz Authentic Mexcian Flavor.",FOOD
7894,153243,5% back at Rigatoni's Fresh Italian Grill,Rigatoni's Fresh Italian Grill,"It's all delicious at Rigatoni's Fresh Italian Grill, and at every convenient location, you'll find friendly service, reasonable prices, and a terrific menu loaded with tempting picks. It's all made fresh and fabulous here, and with plenty of choices for lunch or dinner, this is a popular spot to dine. Meet co-workers for lunch, take the family for dinner, or enjoy a night out with someone special today at Rigatoni's. Feast on chicken fettuccine Alfredo, oven baked lasagna, chicken Parmesan, a hearty meatball sandwich, and so much more. There are lighter meals, too, that come with a salad or soup, and with plenty of starters and a trip to the self-serve bread bar, you won't leave hungry! Rigatoni's is a great choice for catering, too, with plenty of pans and trays to feed any number of people. It's all fresh, delicious, and priced just right at Rigatoni's--check it out yourself today! ",FOOD
7895,154522,5% back at Michael's Restaurant,Michael's Restaurant,"Originally opened in 1958, Michael's Restaurant is a Birmingham staple. This is a bright and airy restaurant where you always feel like family. You'll find delicious steaks on the menu along with just-from-the-water fish and seafood. There's more on the menu to enjoy at this legendary spot where the quality and service are spot-on.",FOOD
7896,154537,5% back at Marco's Pizza,Marco's Pizza,"Craving amazing pizza made from high-quality ingredients? Then Marco's Pizza is the place for you. Whether you want a little taste of Italy delivered to your table or right to your doorstep, there's nothing better than a slice of Marco's. The specialty pizzas are a big draw, so load up on temptations like the White Cheesy, which features an award-winning combination of four types of cheese (including feta), plus bacon, onions, sliced tomatoes, and a garlic butter sauce. The New Yorker provides mega slices with big tastes, while the Deluxe Uno is one of Marco's most popular combinations, pairing up pepperoni, sausage, mushrooms, green peppers, onions, and extra cheese. It's fun creating your own pizzas too, so pile on your favorite ingredients to create delicious fusions. Each pizza is made with fresh dough that's prepared in store each and every day, then topped with Marco's signature sauce. Even the cheese is fresh...it's never frozen! Plus, with free crust toppers like butter garlic or Roma seasoning, your pizza is guaranteed to provide a flavor-packed punch. It's not all pizzas at Marco's, as the kitchen turns out an excellent collection of specialties -- from chicken wings to the signature salads to freshly-baked subs -- made to order just for you.",FOOD
7897,154401,5% back at Ponko Chicken - Decatur,Ponko Chicken - Decatur,"Putting a unique spin on Japanese and Western cuisine, now you can get your hands on the award-winning Japanese-American chicken tenders at Ponko Chicken. This fast-casual eatery is reinventing deliciousness and cooking up amazing, golden-brown, moist, and flavored through-and-through chicken tenders and more. Get their famous Ponko chicken tenders with your choice of sides, or sandwich-style with your choice of Ponko crispy chicken, grilled chicken, tofu tenders, or a vegan patty. Tacos, salads, and plates are also available, and with plenty of variety, you can go back again and again to sample it all. Their fresh sauces and dressings put every meal over the top, and they're so good that you can even take some home to enjoy later. Amazing from the first bite until the last, when you're in the mood for chicken, check out Ponko Chicken! Please note: Catering services are available. Call ahead for details.",FOOD
