id,external_id,title,merchant,description,category
3001,137083,5% back at The Langhorne Brewing Company,The Langhorne Brewing Company,"Quaint and homey with the sort of charm you can only find in small town restaurants, The Old Neshaminy Inn offers something for everyone. Their vast menu features a wide variety of American homestyle favorites, including a dedicated kids section, guaranteeing that everyone in the family is happy. Hot and cold sandwiches, wraps, paninis, burgers, soups, and salads are a satisfying meal for lunch or dinner, and their hearty entrees include stuffed pork loin, chicken and shrimp, oven roasted salmon, crab cakes, and their chef's favorite, the Chef's Chicken Parm Combo (baked ziti over chicken Parmesan). Pizza is available in thin crust, thick crust, and Neapolitan style, or try the Stromboli or cheesesteak if your appetite is ravenous. Looking for something quick and casual? Pull up a chair at the bar and dive into some shareable bites like the wings, lobster mac and cheese bites, or buffalo cauliflower. Then order your favorite wine, beer, or cocktail. Happy hour deals on select drinks and appetizers are available from 4-6 p.m., and every day of the week features different specials like 50 cent wings on Tuesdays and $5 cheeseburgers on Thursdays. Also offering multiple TVs and a dartboard, The Old Neshaminy Inn is the ultimate neighborhood joint that has everything you need.",FOOD
3002,134405,5% back at Big Willies,Big Willies,"Big flavors, big pours and big games are just a few of the things that makes Big Willies a great place to be. This is a sports bar and grill just a few minutes south of downtown Salt Lake City. With Diamond pool tables, Golden Tee, 30 TVs, daily specials, live music, DJ hosted parties, a VIP room and more, no matter if you're going for a meal, a game of pool, or to cheer on your team, you're sure to have a great time. This is a fun spot for drinks and snacks. Sip on your favorite frosty brew and nibble on bacon fritters, bacon and cheese stuffed mushrooms, or heck, just order half a pound of Applewood smoked bacon. There's no denying it: Big Willies loves bacon! If bacon is a little too porky for you, check out their hearty burgers, or cut into a juicy steak. After your meal, stick around for some fun. Karaoke is each Sunday, Dive Bar Bingo starts at 8:30 on Tuesday nights, and be sure to go early for their amazing Happy Hour specials.",FOOD
3003,134403,5% back at Black Rock Bar Grill,Black Rock Bar Grill," Sleek, sexy, and spacious, The Black Rock Bar & Grill is an award-winning steakhouse specializing in Certified Angus steaks that are served on a sizzling stone. Creating a dining experience unlike any other, customers cook their steaks at their table on the pre-heated 755-degree Fahrenheit stone so that each bite is cooked just the way they like it. Based on ancient cooking techniques from Australia, this newest dining trend in the culinary world lets you experience all the aromas, sounds and flavors of cooking meat. Not only do you feast on perfectly cooked proteins, but you can add signature sauces, garlic butter or seasoning to each bite as it cooks. Explore the myriad flavor combinations with the signature Black Rock sirloin, ribeye, New York strip, seared ahi tuna, scallops, snapper and more. If cooking your own meal sounds a little too ambitious, never fear, the talented chefs in the kitchen are busy hand-crafting entrees like the Black Rock ribs which are slowly baked and pull-off-the-bone tender, potato-crusted Gulf snapper, and their famous lobster jalapeno mac-n-cheese. And if you're just looking for drinks and maybe some friendly faces with which to cheer on the big game, hang out at the spacious and fully-stocked bar. There are plenty of TVs for all the best games, and there's a Rockin' happy Hour weekdays from 4-7 p.m. with food and drink specials. With something for everyone and one of the most unique dining experiences around, when you're craving flavor, quality and freshness, head to Black Rock! ",FOOD
3004,138589,5% back at Churchill's Cigar Bar & Bistro,Churchill's Cigar Bar & Bistro,"With outstanding service, a great ambiance, delicious food and convenient locations, Churchill's Cigar Shop is so much more than just a smoke shop. Here, you'll find a terrific selection of cigars and accessories, but you'll also find an elegant and sophisticated decor and upscale dining. Known for excellent cuisine and hand-crafted cocktails, you can enjoy lunch or dinner at this stylish bistro. Jumbo lump crab cakes, charcuterie platters, grilled dry-aged steaks, blue crab-stuffed salmon, pastas and more are all on the tantalizing menu. Each dish is hand-crafted to-order from the freshest and very best ingredients. Or, just pull up a chair at the bar. Sip on a flight of spirits, peruse the hand-curated wine list, or ask about the collection of global beers. For both cigar-smoking aficionados, lovers of fine food, and sippers of world-class spirits, Churchill's Cigar Lounge has something for everyone!",FOOD
3005,138455,5% back at Napoli On the Bay Pizza,Napoli On the Bay Pizza,"Since opening in 1994, diners know that when they're craving some of the best pizza around, they need to go to Napoli on the Bay. This is a casual and cozy spot where big Italian flavors are hand-crafted for hungry diners. Everything is always  home-cooked at this eatery, and with recipes that have been handed down through the generations, you know it's going to be good. Check out the huge selection of specialty pizzas which are available in three sizes (gluten-free pizzas are also available), or build your own creation from the selection of fresh toppings. Or, get a knife and fork ready for veal Parmigiano, lasagna, stromboli, hearty subs, and much more. Napoli on the Bay also caters. No matter if you need a bunch of pizzas or a full meal with hot and cold dishes, they've got the experience to make your event a delicious one. Online ordering, delivery and daily specials add to the appeal, making Napoli a great choice when dining or ordering out!",FOOD
3006,138073,5% back at Rio Tomatlan,Rio Tomatlan,"Explore coast-to-coast Mexican cuisine at Rio Tomatlan, a restaurant that showcases hand-crafted Mexican food that's always made with the freshest locally and seasonally grown ingredients. At this unique and vibrant eatery that's decorated to make you feel like you're far from home, you'll discover that they make meals the old-fashioned way. Produce is delivered fresh, never frozen. Fish is just-off-the-boat fresh. Authentic cheeses are imported from Michuacan, Mexico. Coffee is roasted fresh each week. This is how they do things at this eatery, and you can taste the difference in each bite. Explore the culinary regions of Mexico one dish at a time with favorites like tequila shrimp, chile rellenos, mole poblano, chalupas and more. There are also combination plates, in case deciding on one dish is too hard. And, with a stunning collection of tequilas, you can sip your way through a flight or order a pitcher of margaritas to share with the table. Satisfy all your cravings for Mexican food at Rio Tomatlan today!",FOOD
3007,138002,5% back at Streets of New York Pizza #29,Streets of New York Pizza #29,"GREAT NEWS: STREETS OF NEW YORK IS NOW THE OFFICIAL PIZZA OF THE PHOENIX SUNS AND ARIZONA DIAMONDBACKS. SO IF YOU'RE PLANNING A TAILGATING PARTY, BRING ALONG PLENTY OF ARIZONA'S FAVORITE PIES, PLUS NOW THEY'RE SERVING BROASTER FRIED CHICKEN! In New York, hungry folks can always get whatever they want whenever they want it. Happily, the same thing is now true in Arizona thanks to the arrival of Streets of New York. Since 1976, these owners have focused on delivering home-style Italian cooking in a neighborhood setting. It's an environment specially designed to make guests feel like they're back East or up North in the town where they grew up. What's more, while Streets of New York has expanded to 27 stores (And growing!), these folks still roll out the welcome mat with top-quality, fresh ingredients and Italian food cooked according to time-honored family recipes. By way of endorsement, THE NEW YORK TIMES has named Streets of New York ""Best Pizza in Phoenix"" an unprecedented 15 times. This eatery has also snagged a nod for ""Best Pizza in Phoenix"" from AZCENTRAL.COM. Still, the only real way to judge this fare's quality is by sampling the goods. From downtown New York Pizza, Uptown Gourmet Pizza, Calzones and Hot Subs, to Appetizers, Pastas, Salads and Desserts - Streets of New York does it all. More importantly, they do it all as well - or better - than it's done on the streets of NYC. Discounts are available for large orders and catering is available for all occasions. Plus, they deliver all day! ",FOOD
3008,137801,5% back at Cravings Tapas Bistro,Cravings Tapas Bistro,"Bringing you a world of flavors one small plate at a time, Cravings Tapas Bistro has become one of the area's favorites for dining tapas-style. Inspired by the flavors of the globe, tapas are no longer just Spanish dishes. At this charming and welcoming eatery, you can mix-and-match to build a meal of international flavors. The menu is cleverly designed so that you can choose from seafood, meats, spreads, vegetable-based dishes, charcuterie and more. Pick one from each category and enjoy a feast, or just select one or two creations to accompany a glass of wine. Shrimp dim sum, tuna tartare, Black Angus skirt steak, serrano ham, empanadas, ricotta gnocchi and BBQ pulled pork arepas are just a few of the stand-out choices. And, for sweets lovers, ask about their hand-crafted in-house dessert selection. World-class service and food all under one roof--check out Cravings Tapas Bistro today!",FOOD
3009,137999,5% back at Don Patron Mexican Grill,Don Patron Mexican Grill,"With specials every day and big, bold Mexican flavors, Don Patron Mexican Grill is the only place you need to go when craving south-of-the-border fare. This is a family friendly spot with comfortable seating, a fully-stocked bar, and a lineup of tasty eats that's second to none. There's a terrific array of dishes on the menu, but must-try favorites include fajitas, carnitas, carne asada, and the honey-chipotle shrimp. There's also a variety of combination plates that include popular choices like burritos, chimichangas, tamales, and more. There's something for everyone on the seemingly endless menu, and with convenient lunch and dinner hours and always freshly prepared fare, this can be your new one-stop destination for tasty Mexican cuisine!",FOOD
3010,138034,5% back at Denny's,Denny's,"As a name synonymous with family dining, you can rely on Denny's to deliver good food, and plenty of it, at prices that spell ""value"" with a capital V. But if you haven't visited Denny's lately, you may not be aware of all the new things being cooked up to stay in step with America's changing tastes. For example, one of the restaurant's biggest draws has always been its around-the-clock breakfasts. Well now, in addition to the platters of pancakes, waffles, eggs, omelettes and meats, diners have heart-healthy options made with Egg Beaters®. In fact, Denny's has a whole roster of Fit-Fare&trade; selections for health-conscious patrons, and each item is yummier than the next. There's a specially-priced menu for the 55-and-older crowd too, in addition to Denny's money-saving kids menu. Happily, however, Denny's remains committed to satisfying hearty appetites with great-tasting sandwiches, salads, entrees and desserts that fit the bill, and do it with change to spare.",FOOD
