id,external_id,title,merchant,description,category
1729,25205,5% back at Salvatore Scallopini,Salvatore Scallopini,"Salvatore's offers a big atmosphere without a big check.  Traditional Italian cuisine served in a casual, fun environment.  Famous for its minestrone soup, salads, pasta and tiramisu.",FOOD
1730,46495,5% back at Park Tavern,Park Tavern,"The Park Tavern slogan is: ""The only thing we overlook is the park."" That's Piedmont Park, and the view is nothing short of spectacular! Beyond being a true Atlanta landmark, Park Tavern is a restaurant, bar and banquet facility popular for private parties, weddings, receptions or even just a casual lunch or dinner. The tavern's rustic interior and lush lawns provide the perfect backdrop for its classic American menu and great selection of micro-brewed beers and ales - or take in the view over some of the freshest and tastiest sushi around, straight from the sushi bar.  For the non-beer connoisseur, Park Tavern offers a nice selection of wines, or guests can treat themselves to a special cocktail, such as a sour apple martini or a frozen margarita. Download the Park Tavern phone app, and keep up with all the upcoming events, concerts, and shows - or reserve a cabana for just $25, and enjoy exclusive use for three hours for  up to six people. Situated right on the park you and your guests will enjoy the ultimate view of the Midtown Atlanta skyline overlooking beautiful Piedmont Park.",FOOD
1731,26894,5% back at Aunt Emma's Restaurant,Aunt Emma's Restaurant,"As the name implies, home cooking is the attraction here. Breakfasts are generous, as befits a self-proclaimed ""pancake house"" (Aunt Emma's also offers omelet's, waffles, and eggs, all with sides), and served all day. You can also get lunch and dinner comfort food staples such as meat loaf and chicken-fried steak. Service and atmosphere try to live up to the home-cooked image.",FOOD
1732,26976,5% back at Marrakesh Moroccan Restaurant,Marrakesh Moroccan Restaurant,"Marrakesh is an exciting eating experience for any one who wants a taste of the exotic! Are your American taste buds dulled by burgers and fries? Leave them home! Open your senses to fresh fruit, spicy meats, and tasty rice dishes. Great for kids since Moroccan's traditionally dine with their fingers! The menu features their own red wine, which goes down very smoothly after a spicy meal! Casual dining.",FOOD
1733,19647,5% back at MaryAnn's Diner,MaryAnn's Diner,"Let the good times roll at Maryann's! Established in 1989, Maryann's opened its doors with the vision of giving customers the best service, homemade food and atmosphere possible. Open daily, Maryann's offers breakfast served everyday until 2 pm, specialty sandwiches, juicy hamburgers, and delicious clubs. Maryann's even offers a children's menu, so bring the whole family! Check out Maryann's at their convenient 29 East Broadway location. Ample parking is available.",FOOD
1734,25216,5% back at London Pickle Works,London Pickle Works,"London Pickle Works is a family owned establishment located in Brecksville for 18 years.  This restaurant has been serving award winning food to the community for almost 2 decades.  With a comfortable atmosphere, you can bring your client or your family for lunch or dinner and dine in a relaxed atmosphere.  They offer large sandwiches, great steaks at reasonable prices, daily homemade specials and soups, fabulous burgers and the list goes on!  They also have a large private party room to accommodate your catering needs. Call for daily specials! Call ahead for group accommodations. ",FOOD
1735,128967,5% back at Three B's Burger & Wine Bar,Three B's Burger & Wine Bar,"With a neighborhood restaurant vibe plus scrumptious food and an unparalleled wine-on-tap system, Three B's Burger & Wine Bar brings the best of food and drink to Metairie. This is a popular spot that's a great pick for lunch, dinner, or after-work drinks. Stop by and feast on something fabulous--the burgers here are huge, juicy, and packed with flavor. But before you get to the main event, check out shareables like the boudin balls, smoked chicken wings or their famous Totchos which are loaded with goodness. If you're a burger fan, their 4- and 8-ounce burgers are amazing! Each is hand-pattied and served with fries or tots. Check out the signature Three B burger with cheese, pickles, mayo, and veggies, or the fully-loaded Cowboy burger with cheddar, chili, sour cream, and jalapenos. There are plenty of other picks, too, plus a handful of sandwiches, salads, and sides. Check out the wines on tap, or if you've got a sweet tooth, their shakes are thick and creamy. There are cocktails, too, plus cold beers to help you enjoy your meal in style. For the best combination of wines and burgers, check out Three B's Burger & Wine Bar today! ",FOOD
1736,128228,5% back at Ginjo,Ginjo,"Ginjo Restaurant is a unique Asian hibachi grill restaurant which offers an impressive variety of dishes to hungry diners who appreciate quality. Head over today for dinner and a show -- request a table at the hibachi grill and watch as your personal chef wows and amazes you with a fiery performance that ends in a hand-crafted meal that is sure to please. Pick from top-quality meats like filet mignon, chicken, black pepper steak, or seafood options like shrimp, scallops or lobster, and then your chef will turn your choices into a fabulous meal. Spinning eggs, flying shrimp, flaming volcanoes ... table side action in a show you won't forget! There's more to try at this eatery, including traditional sushi dining. Pull up a chair at the sushi bar and devour hand-crafted rolls, specialty rolls, sushi, sashimi and more. Always made with just-from-the-water fish and seafood, the options are varied indeed! Tempura, Blue Orchid favorites like Mongolian beef and Hunan chicken, as well as bento boxes, lunch specials and more round out the menu, ensuring plenty for everyone no matter the meal. Wines, sake, beers and more are ready for sipping, and with friendly service, Ginjo is always a great choice! ",FOOD
1737,44500,5% back at Smokehouse Brewing Co.,Smokehouse Brewing Co.,"Looking for a little fun while satisfying your cravings for appetizing fare? Smokehouse Brewing Co. is a simple and welcome respite from the day, serving up an afternoon or evening of conversation, drinks, and food. Whether you're ordering up some appetizers or entrées, the options are nicely varied. Start with their award-winning smoked wings or the smoked pork belly sliders. Then, dive in to heartier fare like the sliced beef brisket sandwich, the smoked corned beef Reuben, the bison burger and much more. If its traditional 'que you're after, sink your teeth in to expertly prepared dishes like the Saint Louis spareribs, hickory smoked half chicken, or go for the king of them all, the wholly smoke carnivore sampler with your choice of up to four different meats. It's not just the food that is done exceedingly well at this popular place, but also the brews. As a brewhouse, there are plenty of award-winning microbrews to sip on, as well as a variety of guest taps and other drinks. Perfect whether you're hungry, thirsty or both, Smokehouse Brewing Co. has it all!",FOOD
1738,44456,5% back at Dallas BBQ,Dallas BBQ,"With steerheads on the wall, Dallas BBQ offers very inexpensive, ribs, chicken, coleslaw, potatoes, and plenty of all.  If you are the kind of person who is just looking for a casual, inexpensive place to chow down, look no more.  Large variety of barbecued chicken.",FOOD
